HDI rank,Country,Value (2015),Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
148,Swaziland,0.57,137.00,389.00,70.42,14.74,27.33,30.48,40.04,64.15
149,Syrian Arab Republic,0.55,133.00,68.00,39.45,12.40,34.78,43.41,12.17,70.85
150,Angola,..,..,477.00,164.27,36.82,..,..,59.88,77.14
151,Tanzania (United Republic of),0.54,129.00,398.00,118.55,36.00,10.09,15.26,74.01,83.29
152,Nigeria,..,..,814.00,110.60,5.77,..,..,48.41,63.99
153,Cameroon,0.57,138.00,596.00,104.61,27.14,31.66,37.93,70.98,81.11
154,Papua New Guinea,0.59,143.00,215.00,54.84,2.70,8.80,14.75,69.60,71.05
154,Zimbabwe,0.54,126.00,443.00,109.67,35.14,51.92,64.73,77.75,87.31
156,Solomon Islands,..,..,114.00,48.43,2.00,..,..,61.13,73.52
157,Mauritania,0.63,147.00,602.00,78.64,22.17,11.09,23.46,29.10,65.31
158,Madagascar,..,..,353.00,116.16,20.53,..,..,83.85,89.09
159,Rwanda,0.38,84.00,290.00,26.34,57.55,10.46,16.42,86.41,83.19
160,Comoros,..,..,335.00,68.33,3.03,..,..,35.32,79.38
160,Lesotho,0.55,132.00,487.00,92.73,24.84,23.55,22.49,59.25,73.89
162,Senegal,0.52,120.00,315.00,78.57,42.67,10.22,19.24,45.01,70.16
163,Haiti,0.59,142.00,359.00,39.28,3.48,25.68,38.72,61.50,71.36
163,Uganda,0.52,121.00,343.00,111.90,34.97,25.91,32.12,82.32,87.67
165,Sudan,0.57,140.00,311.00,74.04,31.04,13.70,18.85,24.26,72.16
166,Togo,0.56,134.00,368.00,92.01,17.58,23.14,36.12,81.10,80.63
167,Benin,0.61,144.00,405.00,83.18,7.23,15.77,30.85,69.98,73.40
168,Yemen,0.77,159.00,385.00,61.46,0.49,15.63,33.17,25.83,73.12
169,Afghanistan,0.67,154.00,396.00,73.97,27.44,8.77,35.40,19.05,83.65
170,Malawi,0.61,145.00,634.00,136.16,16.67,14.95,24.24,81.21,80.77
171,Côte d'Ivoire,0.67,155.00,645.00,135.55,9.16,16.57,32.75,52.35,80.87
172,Djibouti,..,..,229.00,21.50,12.73,..,..,36.50,68.14
173,Gambia,0.64,148.00,706.00,113.02,9.43,25.32,39.10,72.19,82.71
174,Ethiopia,0.50,116.00,353.00,58.37,37.29,10.78,20.72,76.99,89.06
175,Mali,0.69,156.00,587.00,174.59,8.84,7.34,16.16,50.06,82.26
176,Congo (Democratic Republic of the),0.66,153.00,693.00,122.61,8.17,14.48,34.97,70.49,71.77
177,Liberia,0.65,150.00,725.00,108.84,10.68,17.31,39.70,57.95,63.92
178,Guinea-Bissau,..,..,549.00,89.46,13.73,..,..,67.24,78.32
179,Eritrea,..,..,501.00,54.34,22.00,..,..,77.69,90.24
179,Sierra Leone,0.65,151.00,1360.00,118.17,12.40,16.79,29.71,65.04,68.56
181,Mozambique,0.57,139.00,489.00,139.73,39.60,2.76,8.04,82.46,75.38
181,South Sudan,..,..,789.00,65.87,24.35,..,..,71.18,75.33
183,Guinea,..,..,679.00,140.62,21.93,..,..,79.47,85.15
184,Burundi,0.47,108.00,712.00,28.26,37.80,7.06,9.59,84.64,82.66
185,Burkina Faso,0.62,146.00,371.00,108.53,9.45,5.96,11.54,76.64,90.66
186,Chad,0.69,157.00,856.00,133.46,14.89,1.66,9.86,64.01,79.26
187,Niger,0.70,157.00,553.00,202.38,13.27,3.61,8.43,40.23,89.42
188,Central African Republic,0.65,149.00,882.00,91.94,12.50,12.34,29.82,71.70,84.58
