HDI rank,Country,Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15-19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
179,Eritrea,,501,54.34,22,,,77.69,90.24
180,Sierra Leone,151,1360,118.17,12.4,16.79,29.71,65.04,68.56
181,Mozambique,139,489,139.73,39.6,2.76,8.04,82.46,75.38
182,South Sudan,,789,65.87,24.35,,,71.18,75.33
183,Guinea,,679,140.62,21.93,,,79.47,85.15
184,Burundi,108,712,28.26,37.8,7.06,9.59,84.64,82.66
185,Burkina Faso,146,371,108.53,9.45,5.96,11.54,76.64,90.66
186,Chad,157,856,133.46,14.89,1.66,9.86,64.01,79.26
187,Niger,157,553,202.38,13.27,3.61,8.43,40.23,89.42
188,Central African Republic,149,882,91.94,12.5,12.34,29.82,71.7,84.58
